[Buff] Applied S1: インパクトエグゾスパイン (クリ率) (crit_rate_buff: 0.6) to イヴ
[Buff] Applied S2: イーグルアイエグゾスパイン (開幕バフ)_Stage_0 (atk_buff_fixed: 12777.0) to イヴ
[Buff] Applied S2: イーグルアイエグゾスパイン (開幕バフ)_Stage_1 (max_ammo_rate: 0.25) to イヴ
[Shoot] 時間:  0.22s | 弾数: 59/75  | Pellets: 1 | Dmg:    13,080 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 42.38s | 弾数:  6/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 42.47s | 弾数:  5/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 42.55s | 弾数:  4/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 42.63s | 弾数:  3/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 42.72s | 弾数:  2/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 42.80s | 弾数:  1/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 42.88s | 弾数:  0/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 44.27s | 弾数: 74/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 44.35s | 弾数: 73/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 44.43s | 弾数: 72/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 44.52s | 弾数: 71/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 44.60s | 弾数: 70/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 44.68s | 弾数: 69/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 44.77s | 弾数: 68/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 44.85s | 弾数: 67/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 44.93s | 弾数: 66/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 45.02s | 弾数: 65/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 45.10s | 弾数: 64/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 45.18s | 弾数: 63/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 45.27s | 弾数: 62/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 45.35s | 弾数: 61/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 45.43s | 弾数: 60/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 45.52s | 弾数: 59/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 45.60s | 弾数: 58/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 45.68s | 弾数: 57/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 45.77s | 弾数: 56/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 45.85s | 弾数: 55/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 45.93s | 弾数: 54/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.02s | 弾数: 53/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.10s | 弾数: 52/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.18s | 弾数: 51/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.27s | 弾数: 50/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.35s | 弾数: 49/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.43s | 弾数: 48/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.52s | 弾数: 47/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.60s | 弾数: 46/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.68s | 弾数: 45/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.77s | 弾数: 44/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 46.85s | 弾数: 43/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Skill Dmg] 時間: 46.85s | 名前:S1: 不安定エネルギー (通常)_Stage_0 | Dmg:   455,372 | Hits:3 | Buffs:crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Debuff] Applied S1: 不安定エネルギー (通常)_Stage_1 (taken_dmg_debuff) to Enemy (Shared)
[Shoot] 時間: 46.93s | 弾数: 42/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.02s | 弾数: 41/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.10s | 弾数: 40/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.18s | 弾数: 39/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.27s | 弾数: 38/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.35s | 弾数: 37/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.43s | 弾数: 36/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.52s | 弾数: 35/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.60s | 弾数: 34/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.68s | 弾数: 33/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.77s | 弾数: 32/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.85s | 弾数: 31/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 47.93s | 弾数: 30/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.02s | 弾数: 29/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.10s | 弾数: 28/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.18s | 弾数: 27/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.27s | 弾数: 26/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.35s | 弾数: 25/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.43s | 弾数: 24/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.52s | 弾数: 23/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.60s | 弾数: 22/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.68s | 弾数: 21/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.77s | 弾数: 20/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.85s | 弾数: 19/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 48.93s | 弾数: 18/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.02s | 弾数: 17/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.10s | 弾数: 16/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.18s | 弾数: 15/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.27s | 弾数: 14/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.35s | 弾数: 13/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.43s | 弾数: 12/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.52s | 弾数: 11/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.60s | 弾数: 10/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.68s | 弾数:  9/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.77s | 弾数:  8/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.85s | 弾数:  7/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 49.93s | 弾数:  6/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 50.02s | 弾数:  5/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 50.10s | 弾数:  4/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 50.18s | 弾数:  3/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 50.27s | 弾数:  2/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 50.35s | 弾数:  1/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 50.43s | 弾数:  0/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 51.82s | 弾数: 74/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 51.90s | 弾数: 73/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 51.98s | 弾数: 72/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.07s | 弾数: 71/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.15s | 弾数: 70/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.23s | 弾数: 69/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.32s | 弾数: 68/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.40s | 弾数: 67/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.48s | 弾数: 66/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.57s | 弾数: 65/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.65s | 弾数: 64/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.73s | 弾数: 63/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.82s | 弾数: 62/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.90s | 弾数: 61/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 52.98s | 弾数: 60/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.07s | 弾数: 59/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.15s | 弾数: 58/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.23s | 弾数: 57/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Skill Dmg] 時間: 53.23s | 名前:S1: 不安定エネルギー (通常)_Stage_0 | Dmg:   556,566 | Hits:3 | Buffs:crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Debuff] Applied S1: 不安定エネルギー (通常)_Stage_1 (taken_dmg_debuff) to Enemy (Shared)
[Shoot] 時間: 53.32s | 弾数: 56/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.40s | 弾数: 55/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.48s | 弾数: 54/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.57s | 弾数: 53/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.65s | 弾数: 52/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.73s | 弾数: 51/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.82s | 弾数: 50/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.90s | 弾数: 49/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 53.98s | 弾数: 48/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.07s | 弾数: 47/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.15s | 弾数: 46/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.23s | 弾数: 45/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.32s | 弾数: 44/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.40s | 弾数: 43/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.48s | 弾数: 42/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.57s | 弾数: 41/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.65s | 弾数: 40/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.73s | 弾数: 39/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.82s | 弾数: 38/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.90s | 弾数: 37/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 54.98s | 弾数: 36/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.07s | 弾数: 35/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.15s | 弾数: 34/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.23s | 弾数: 33/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.32s | 弾数: 32/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.40s | 弾数: 31/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.48s | 弾数: 30/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.57s | 弾数: 29/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.65s | 弾数: 28/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.73s | 弾数: 27/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.82s | 弾数: 26/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.90s | 弾数: 25/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 55.98s | 弾数: 24/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 56.07s | 弾数: 23/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 56.15s | 弾数: 22/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 56.23s | 弾数: 21/75  | Pellets: 1 | Dmg:    14,388 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間: 56.32s | 弾数: 20/75  | Pellets: 1 | Dmg:    17,266 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
