[Shoot] 時間:  0.22s | 弾数:299/300 | Pellets: 1 | Dmg:     3,940 | Buffs: charge_dmg_buff:0.42
[Shoot] 時間: 20.73s | 弾数:195/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.73s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.75s | 弾数:194/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.75s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.77s | 弾数:193/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.77s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.78s | 弾数:192/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.78s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.80s | 弾数:191/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.80s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.82s | 弾数:190/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.82s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.83s | 弾数:189/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.83s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.85s | 弾数:188/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.85s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.87s | 弾数:187/225 | Pellets: 1 | Dmg:     8,189 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.87s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.88s | 弾数:186/225 | Pellets: 1 | Dmg:     8,189 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.88s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.90s | 弾数:185/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.90s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.92s | 弾数:184/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.92s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.93s | 弾数:183/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.93s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     2,231 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.95s | 弾数:182/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.95s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.97s | 弾数:181/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.97s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     2,231 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 20.98s | 弾数:180/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 20.98s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.00s | 弾数:179/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.00s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.02s | 弾数:178/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.02s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.03s | 弾数:177/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.03s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.05s | 弾数:176/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.05s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.07s | 弾数:175/225 | Pellets: 1 | Dmg:     8,189 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.07s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.08s | 弾数:174/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.08s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.10s | 弾数:173/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.10s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.12s | 弾数:172/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.12s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.13s | 弾数:171/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.13s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.15s | 弾数:170/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.15s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.17s | 弾数:169/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.17s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.18s | 弾数:168/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.18s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.20s | 弾数:167/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.20s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.22s | 弾数:166/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.22s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.23s | 弾数:165/225 | Pellets: 1 | Dmg:     8,189 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.23s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.25s | 弾数:164/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.25s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.27s | 弾数:163/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.27s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.28s | 弾数:162/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.28s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.30s | 弾数:161/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.30s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.32s | 弾数:160/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.32s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     2,231 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.33s | 弾数:159/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.33s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.35s | 弾数:158/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.35s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.37s | 弾数:157/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.37s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.38s | 弾数:156/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.38s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.40s | 弾数:155/225 | Pellets: 1 | Dmg:     8,189 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.40s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.42s | 弾数:154/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.42s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     2,231 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.43s | 弾数:153/225 | Pellets: 1 | Dmg:     8,189 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.43s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.45s | 弾数:152/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.45s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.47s | 弾数:151/225 | Pellets: 1 | Dmg:     8,189 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.47s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     2,231 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.48s | 弾数:150/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.48s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     2,231 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.50s | 弾数:149/225 | Pellets: 1 | Dmg:     8,189 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.50s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.52s | 弾数:148/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.52s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.53s | 弾数:147/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.53s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.55s | 弾数:146/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.55s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.57s | 弾数:145/225 | Pellets: 1 | Dmg:     8,189 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.57s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.58s | 弾数:144/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.58s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Shoot] 時間: 21.60s | 弾数:143/225 | Pellets: 1 | Dmg:     5,098 | Buffs: charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
[Skill Dmg] 時間: 21.60s | 名前:Skill 1: 高速進化 (追加ダメージ)    | Dmg:     1,008 | Hits:1 | Buffs:charge_dmg_buff:0.42 | atk_buff_rate:0.29 | [Evolution x5 (Val:0.71)] | [EvolutionPenalty x5 (Val:-0.25)]
